text,label,
"When I see a movie, I usually seek entertainment. But of course if I know what genre the move is, then I will seek what it is meant to do. For example, if it is a deep film, I expect the film to rile thoughts up in my cranium and make me ponder what it is saying. But Who's That Girl? is not a deep film. But it is entertaining, nonetheless. It's a campy sort of film that's a joy to watch. There's barely a boring moment in the film and there are plenty of humorous parts. I've watched it when I was younger. The cast is always entertaining as usual. I had a small crush on Griffin Dunne even though he wasn't the typical male heartthrob at the time. Haviland Morris also stars. And late Austrian actress Bibi Besch is here too! Overall, a delight!",positive,
"For late-80s cheese, this really isn't so bad. There are a lot of pretty funny throwaway one-liners (""That was grand theft!"" - ""Thanks!"") and Madonna gives a fine performance; nothing award-worthy here, but that goes for Razzies as well as Oscars. I'm curious to know if the movie would have been better received if she had used her regular (pre-British influenced) speaking voice rather than the hyper-Bronxy accent used instead. Oh well. As a side note, I got to meet one of the actors who played one of the motorcycle cops through my work; he said that it was a fun film to work on but gave me the sad news that the actor who played Buck the UPS delivery guy died about a year after Who's That Girl",positive,
"This was a great movie! It was a completely enjoyable adolescent fantasy. So what makes a movie great? Technical details? I think that if that were the sole criteria, our culture would be the poorer for it. So this movie is to ""The Godfather"" as new wave music is to Mozart. The point is, it is one of the best movies of it's type I've seen. The women are all beautiful (as are only seen on California beaches when movies are being made). It has a little of everything, a kind of battlestar gallactica meets baywatch meets the playboy centerfold video meets Wayne's World. There is plenty of charm and a reasonable (albeit predictable) storyline that keeps you interested until the next bit of eye candy graces the screen. Joe Estevez may not have his brothers career, but does a good job of bringing focus to the story as the eternally adolescent Uncle Bud. Contains plenty of expected absurdities such as female rock band playing without the guitars plugged in. (Was that intentional?) If you're attracted to the box, rent the video, you won't regret it. As is promised, it is good non-violent erotic fun!",positive,
"Tale of Two Sisters has to be one of the creepiest films I've seen recently. In the end there is no actual supernatural element, despite what one is led to expect throughout the film. The story seems to be about two sisters, who, upon returning to their father's home after some sort of absence (later revealed to have been a stay in a mental institution) are forced to deal with not only a seemingly schizophrenic and possibly bi-polar stepmother who lashes out at the younger of the girls when the mood strikes her and cheerfully tells them she's prepared a special dinner at another time., but some presence as yet unexplained. It is later revealed that the younger sister is dead, and exists only in the troubled minds of her older sister, who was unable to save her, and her step-mother, who was callous enough to let her die. Much about the specifics of the strange family is not revealed in the film, but it definitely leaves a viewer with a creepy feeling and a nagging hint of confusion. Definitely not light viewing; watch this one when you really want to think about what you've seen. It's a hell of a puzzler.",positive,
"I watch many movies, but presently my genre number one is Asian horror. I have just bought this DVD and I initially found ""Janghwa, Hongryeon"" an intriguing but confused film, since I had not understood many parts of the story. But I saw in IMDb Board a message titled ""Explanation of a Masterpiece (all your questions answered) Faster load"", written by opiemar, and I was really impressed with the high quality of the explanations this user provided to viewers like me that missed points of the story. I would like to congratulate opiemar for his excellent work and suggest him to write a correct summary of this movie in IMDb to help and guide other viewers.  In the end, I agree that ""Janghwa, Hongryeon"" is a great Korean film, but I do not give ten in my vote because very few people can afford to see the same movie more than once, like this film demands, and without the great support of opiemar, I would not be able to understand the story as a whole. I intend to see this movie again in a near future. My vote is eight.  Title (Brazil): ""Medo"" (""Fear"")",positive,
"Call it manipulative drivel if you will, but I fell for it. Sure, there could have been more character development. Yeah, there could have been better cinematography and less of a constant ""movie of the week"" score, but Ed Harris was impeccable, Cuba Gooding adorable and touching, and let's face it people, in real life, how many of us really get to know the motivation of others. Not many. We did get a little glimpse into the coach's motivation (a very provocative dialog in my opinion, not to be soon forgotten) so in my opinion, this was a lovely tribute to one human being who broke out of his ""comfort zone"" to reach out to another human being, and in the mean time, touched the lives hundreds more. A lesson we all need to me reminded of. Why is it that the right thing to do is so often the hardest thing to do? I recommend this beautiful little movie to anyone with a heart. You won't be disappointed. And bring your Kleenex. 8/10",positive,
"I thought this was a really well written film. I've heard of Radio the person before this movie was even created and I can't begin to describe how good Cuba Gooding Jr was in it. It will make the women cry, everyone laugh, and most everyone will leave smiling.",positive,
"I've been strangely attracted to this film since I saw it on Showtime sometime in the early 80's. I say strangely because it is rather a ludicrous bit of soft-core fluff, a genre I'm not particularly interested in. The dialogue is pompously and nonsensically philosophical (making sense, no doubt, only to it's Franco-Italian producers)and the plot completely extraneous. What it does achieve is a wonderfully hypnotic and thoroughly pleasant mood. The scenery (the beautiful Philippines), soft-focus nudity and wonderful score all contribute to a strange and extremely watchable exercise in a sort of film making seldom seen today. It is truly one of my great ""guilty pleasures"". I was fortunate enough to find it on an old laserdisc and have watched it more times than I think is healthy. A worthwhile moodpiece.",positive,
"Cuba Gooding,Jr. will win the Oscar for BEST ACTOR in 2003.And Ed Harris will win for BEST SUPPORTING ACTOR. What a beautiful and poignant film it is but be sure to bring along a box of tissues because if this film doesn't get to you, then you have ice water in your veins.  It was 1976. The setting was in South Carolina and the Civil Rights Act was about ten years old. We have a white high school football coach and teacher, Ed Harris. Then there is a black retarded frightened but pleasant fellow, Cuba Gooding, whose greatest possessions, including a radio, are piled into a shopping cart which is also used as his bicycle.  Ed Harris takes a keen interest in the fellow for a reason explained much later on in the film. He gives Cuba the nickname ""Radio"" and what follows is an absoutely riveting, engrossing, poignant exploration of the human soul.  The movie is nothing short of a masterpiece.",positive,
"I'm normally not a Drama/Feel good movie kind of guy, but once I saw the trailer for ""Radio"", I couldn't resist. Not only is this a great film, but it also has grreat acting. Cuba Gooding Jr. did an excellent job portraying James Robert Kennedy, a.k.a. ""RAdio."" Ed Harris also did a fantastic job as Coach Jones. I was pleasantly surprised to see some comedy in it as well. So for a great story, great acting, and a little comedy, I give ""Radio"" a 10 out of 10!",positive,
"'Radio' is a beautiful movie based on a real story of the mentally challenged James Robert Kennedy, nicknamed 'Radio', and the football coach from the T.L. Hanna High School, Harold Jones.  Cuba Gooding, Jr. is excellent as Radio! I would never imagine to see him in a serious performance, specially because most of the movies I watch with him are comedies. Ed Harris is great as Harold Jones, but this actor IS great, so this is not anything new.  The mentally challenged young man called James Robert Kennedy, always walk around the T.L. Hanna High School, without bothering anyone and almost not noticed. One day, when the football's ball is throw near him, he decides to stay with the ball, for the impatience of Johnny Cash, one of the best players from the football team and also one of the most unpleasant guys you would ever met. One day, Cash decides to punish James, mocking him with other football players and even go so far as to tie him up.  When coach Jones discovers that horrible act, he stays angry and punish all the team, deciding for this day on to help James, who gets the nickname 'Radio' because of his passion for radios in general.  The movie shows how Radio becomes an adept assistant, helping the team train despite hardships from the players, and even getting respect from basically all the people who lives in the small city.   I would recommend this movie for everybody who wants to watch a real and beautiful story. It has a life lesson,specially showing us how a person can make a difference, even not being what we call ''normal''. Radio has a big heart and is incapable to hate anyone, and that's a thing that we all should apply to our daily lives.",positive,
"This is one of the best films I have ever seen! How anyone can knock this movie just befuddles my imagination! First of all, Gooding's and Harris's performances were simply spectacular, especially Gooding. That is the only way I can describe the acting: spectacular! You have to imagine how difficult it would be to play a character like that and pull it off; then you see Gooding, and his performance was magical. As for the plot, since it was based on a true person, it goes where the lives of the characters go. For all the action buffs, it might be a little slow, but then it's not an action film. I definitely give this movie a 10. It deserves nothing less!",positive,
"I can't believe this movie only scores 7.4! This surely ranks up with the best of Hitchcock's movies such as VERTIGO or MARNIE. The only reason I can think of why the score is so low, is that for the most part, THE MAN... renounces violence and certainly won't get a diploma in ""sex and crime"".  What it derives its tension from is not violence, it's the reckless energy of these criminals that take a child from his parents and are ready to kill the kid if the operation fails. Today, having seen a lot of hardboiled kidnapping movies as Mel Gibson's RANSOM, this seems normal, but in the 1950s, where family was all in contemporary America, the thought of such a crime surely has stirred up emotions a lot.  And this tension still works for me, today. Yeah, these guys are selfish, ignorant bastards, disturbing in how they act: It's a deal for them, and they want to be ""good businessmen"", disregarding the fact that business here is kidnapping kids and assassinating politicians in the opera!!   What makes the movie great, however, are the creative aspects, the kinky ideas of Hitchcock, the outrageously disturbing scene in the church (which brings it to the viewer's attention how alone, how abandoned the protagonists are, nobody caring, nobody helping, the people in the church just going home...), the meeting with the owner of that shop stuffing and preparing dead animals (which stresses the somewhat ""oriental"" flair the movie has from the opening scenes abroad), last not least the role of MUSIC in this movie.  Music is the key principle here, as ***SPOILER*** the assassination of the targeted politician is to be done exactly in the moment of a loud orchastra tutti/gong; so Hitchcock lets the camera follow the orchestra score and you now it will happen in a second ***BANG*** And then, of course, DORIS DAY singing Que sera, which became more famous than the movie itself; she sings it to notify the kid of his parents being in the embassy...  All in all: A classic!!",positive,
"This isn't among my favorite Hitchcock films, though I must admit it's still pretty good. Among the things I really liked were the presence of Jimmy Stewart (he always improves even the most mediocre material) and the incredibly scary looking assassin (who looks like a skeleton with just a thin layer of skin stretched over him). Although it cost the studio a lot of money, I didn't particularly care for Doris Day in the film--she seemed to weep a lot and belts out ""Que Sera"" like a fullback. Yes, I know that she was supposed to sing in that manner, but this forever made me hate this song. Sorry.  The other complaint, though minor, I had about the movie was that it was a little ""too polished"" and ""Hollywood-esque"". The original version (also done by Hitchcock) just seemed a lot grittier and seedier--and this added to the scary ambiance.",positive,
"I've been strangely attracted to this film since I saw it on Showtime sometime in the early 80's. I say strangely because it is rather a ludicrous bit of soft-core fluff, a genre I'm not particularly interested in. The dialogue is pompously and nonsensically philosophical (making sense, no doubt, only to it's Franco-Italian producers)and the plot completely extraneous. What it does achieve is a wonderfully hypnotic and thoroughly pleasant mood. The scenery (the beautiful Philippines), soft-focus nudity and wonderful score all contribute to a strange and extremely watchable exercise in a sort of film making seldom seen today. It is truly one of my great ""guilty pleasures"". I was fortunate enough to find it on an old laserdisc and have watched it more times than I think is healthy. A worthwhile moodpiece.",positive,
"I put this second version of ""The Man Who Knew Too Much"" to my Top 10 Hitchcock movies. Together with ""Frenzy"", it's probably the most argued film among the fans of Hitchcock. I consider it far better than, say, ""Rebecca"", which has gained unreasonably much appreciation.  The film contains many ingenious scenes (most of them have been mentioned in other reviews), but that's something to be expected from Hitchcock. It takes almost half an hour until things really start to happen, but that time is used for preparing the following happenings, which are full of intriguing suspense.  If you can ignore the clumsy rear projections, the only weakness of this film is the main villain, played by Bernard Miles, who is a rather flat and undeveloped character. Luckily, there is a creepy assassin in the form of Reggie Nalder. And Hank, the little boy, isn't as irritating as most kids in old movies.",positive,
"Alfred Hitchcock shows originality in the remake of his own 1934 British film, ""The Man Who Knew Too Much"". This 1956 take on the same story is much lighter than the previous one. Mr. Hitchcock was lucky in having collaborators that went with him from one film to the next, thus keeping a standard in his work. Robert Burks did an excellent job with the cinematography and George Tomasini's editing shows his talent. Ultimately, Bernard Herrmann is seen conducting at the magnificent Royal Albert Hall in London at the climax of the picture.  James Stewart was an actor that worked well with Mr. Hitchcock. In this version, he plays a doctor from Indiana on vacation with his wife and son. When we meet him, they are on their way to Marrakesh in one local bus and the intrigue begins. His wife is the lovely Doris Day at her best. She had been a well known singer before her marriage and now is the perfect wife and mother. The film has some good supporting cast, Brenda DeBanzie, Bernard Miles, Daniel Gelin, Alan Mowbray, among others, do a great job in portraying their characters.  Although this is a ""light Hitchcock"", one can't dismiss it as a failure. ""The Man Who Knew Too Much"" is a change of pace for Hitchcock's fans.",positive,
"There is a lot to like in this film, despite its humble trappings of a preachy PC tale about rape and the perp always faring better than the victim. The movie did create a fair bit of suspense in the mystery surrounding who was sending the notes. (I, for one, was sure it was the teacher. In fact, that would have been more probable plot-wise because the idea of the best-friend's boy-friend kind of came out of nowhere. I guess the point of that is that ""rape is omnipresent. You never know who it is going to be"".) Ms. Beller is luminous as always (yet see KB discussion board for my qualification of this statement). Like all preachy films the plot lasts 15 minutes past the climax so you might want to quit watching at that point. Unless you are really curious to find out what happens to Phillip. Blythe Danner, as the mom, is in the role she was born to play: the fretting, over-protective mom. Some good 70s scenes for 70s fans. (The dark bar that the father goes to in order to drink away his pain is all dark-stained beams, barrels, oak and cork). A must for Beller fans and highly recommended for fans of 70s High School melodrama or 70s kitsch in general.",positive,
"Here's another of the 1940's westerns that I watch whenever it comes on TCM or FMC, because although it may be flawed historically, it is extremely entertaining and well acted, plus it's got Randolph Scott, my favorite actor second only to Gary Cooper-Well, OK, fourth behind COOP, Charlton Heston, and Gregory Peck. But the film itself, to me anyway, is reasonably historically accurate and as I said before, well acted and ""flows"" very well-I bet I've seen it 50 or 60 times, and enjoy each viewing more than the one before. I have it on tape from TCM but would buy it in a minute if it ever came out on DVD. See it if you haven't- I guarantee you'll like it!",positive,
"Featuring some amazing and wonderful characters, a new mythology, superbly designed and executed sets, Nightbreed is a great film.  Sadly the lack of a well known lead actor lead to the film finding obscurity.  Perhaps also the homosexuality of the director lead to the film being unwittingly censored by the white audience the film decries.  None the less the film is a treasure of the monster movie/superhero genre.  A sequel featuring Highlander style flashbacks to different epochs in history would be interesting.   Another idea would be the foundation of the new Midian. Perhaps in Texas somewhere or the swamps of Lousiana with crocodile men and a traveling freak circus.",positive,
"It's a horror story alright. But perhaps not as you know it. The real monsters in this flick are humans. While the monsters, are human and prey. As weird as that may sound I see this as ""Monsters Inc"" for horror film fans.  Sure, the effects are of a std horror film, the monsters are there as in any monster based film, the gore is there as well, there even is a slasher in the shape of Dr Decker (played by David Cronenberg; I see flash of Cillian Murphy as Dr. Jonathan Crane in Batman Begins here - or is it the other way round?). And it is Decker &c who are the bad guys. The monsters want mainly to mind their own business, warding off intrusive humans more or less misguided, wanting to join there society.  By the end of the film you actually grow to like the quite little monsters (and the dog) - not perhaps what you had expected from the first few scenes....",positive,
"I enjoyed this film. The way these mutants looked, along with the tone of the film, is very good. Plus, David Cronenberg as Philip K. Decker was great! It makes me wonder if his personality is exactly the same in real life (except for the killings of course).  I was impressed with the creatures for this film, although this movie probably had a somewhat low budget, the mutants/creatures/monsters looked great, especially from 1990. This is definitely a unique film and not crap. It makes me want to go find a read the novella it's based off of. This is an interesting film because it shows how humans can be monsters and the ""monsters"" are the one with humanity.",positive,
