text,label,Unnamed: 2
this is my all time favourite movie ever     i remember seeing this when i was younger and since then i have been in love with it  i used to rent it so often from this one video store that used to carry it  and when we moved i couldn t find it any where so i kep going back tot he far away store just so i could watch the movie again   finally i found it for sale and i bought it and watched it over and over again     great movie   since then though it was my very first dvd that i got after i got my dvd player    ok well i got them at the same time  the quality on the dvd is way better i couldn t believe it  you gotta see this one,1,
committed stars  heather graham  along with  casey affleck  and  luke wilson   its the story of joline who is determined to find her ex husband who is in the process of a mid life crisis    committed was not at all what i expected it was lacking in comedy which was ultimately the genre  it was beyond stupid and un realistic  casey affleck delivered a reasonable performance  graham s recent roles have been lack luster and this is not an improvement   graham s most recent role was blessed which i also found misleading and didn t appeal to me at all   pros affleck  cons predictable  unrealistic  poor acting and not a comedy movie,0,
it s not really about wine  no  nossiter s real targets are those who would streamline and assimilate the peculiarities of local  wine  production for business purposes  to this end he has made an excellent  objective film  spirited  bumptious  emotional and flawed independent wine producers are juxtaposed with media finessed  anodynesprech amercians and auld europeans  the art of wine making against market driven  laboratorised product manufacture  it s an open show that doesn t lead conclusion   nossiter s film is occasionally infuriating to watch   cameras are neither concealed  nor steadicam  by any means  there are also plenty of captions as well as subtitles to wade through  often too short a time on screen   however it does outdo michael moore at the game moore can t play anyway  the characters speak for   and therefore condemn   themselves  well worth a viewing,1,
i tend to be inclined towards movies about people who choose to cross the barriers of censorship  and express what they really want to express  eric bogosian s character of barry is like howard stern  but much more intelligent  the character itself is very fascinating  as an oliver stone film  i guess i was expecting more  the film sags a bit during the third act  plus  it s pretty obvious that  talk radio  is based on a play  with its long dialogue scenes  but overall  the film works  bogosian is great in the lead  and the fact that he also wrote the play from which the movie was based on probably helped him  if you want to check out one of stone s greater films  i better suggest you check out  jfk  or  salvador   this is not his best work  but a good movie nonetheless,1,
strike force or  the librarians  is a fun action movie that doesn t it take itself too seriously  william forsythe stars as simon  who is looking for a missing daughter of a wealthy client  he meets up with sandi  erika eleniak  who is also looking for someone her sister  but there are evil bad guys afoot  the most evil of them all is marcos canarious  andrew divoff   marcos likes to kill people  so now  simon and sandi have to team up to bring down the villains  the whole cast is great  with divoff stealing the movie  there are also cameos by ed lauter and burt reynolds  if you are looking for a good action film  watch this and have a good time,1,
ok  when i rented this several years ago i had the worst expectations  yes  the acting isn t great  and the picture itself looks dated  but as i sat there  a strange thing happened  i started to like it  the action is great and there are few scenes that make you jump  brion james  maybe one of the greatest b grade actors next to bruce campbell  is great as always  the story isn t bad either  now i wouldn t rush out and buy it  but you won t waste your time at least watching this good b grade post apocalyptic western,1,
the only reason i saw this movie was because it had giovanni ribisi and it was supposed to be  horror   don t be fooled  this movie has to be the worst  horror  film i have seen  it s about these people who go to a secret location which has a  monster  in it  the monster is a man with a deformed face running around in blue sweat pants who has a craving for brains  some people die  some people don t  in the end they throw the monster off of a plane and then fly away happily  but oh no  the monster is still alive after falling out of a plane  go spend   hours some other way like watching paint dry on a wall  trust me  it s more entertaining than this crap,0,
this is another film where the cinematography is the best thing to recommend it  that would be fine if the film were a travelogue  but as a dramatic exercise in cinematic artistry  that is not good enough  the theme of inter species respect and co operation ventures timidly into the forbidden world of inter species love  but its approach is stereotypical  indicating a lack of understanding of the behavior motives of either species  as with many films  one always wonders what could have been achieved by a more innovative director and a more creative screenwriter  alas  we probably will never know,1,
great period piece that shows how attitudes have changed in    years  great production design  appealing stars  great lines   miss bender  i don t care if you beat it out on a native drum    says joan crawford s amanda farrow to hope lange when lange incredulously asks how she is expected to read a summarize a large amount of manuscripts in a very short time   if you ve seen this movie panned and scanned on tv and not in the letterboxed version on pay tv or amc  american movie classics  you haven t really seen it  hopefully  this guilty pleasure of a film will be made available soon on dvd in a letterboxed version and with it s original   track stereophonic soundtrack  great opening title sequence that really catches the mood of      new york while johnny mathis sings the  best of everything  theme song in an echo chamber surrounded by a chorus of violins and another chorus of background screamers  miscarriages  insanity  office romance  bitchy cold hearted bosses  thwarted love  it s all here to enjoy,1,
christopher nolan s directorial debut is a memorable one  the film was very well received and help land contracts for making  memento  and quite rightfully so    following is an exquisite example of how films should be made  no fancy effects or blood dripping gore   just brilliant writing and good acting  nolan manages to captivate us once again with his writing  the actors  all unknowns to me and i suppose most people  did a good job bringing the characters to live  they were all believable and that s all they need to be  the film is confusing because it plays with chronology a lot but it s very rewarding in the end  the film s a little short to be a full length feature but any additional length would ve ruined the style of the movie and the brilliance of the writing would ve been diminished  though short  the film has every aspect that makes a film attractive  imo   an intriguing beginning  an exciting middle and a surprising end    i dare say following is almost as good as memento  his best film by far  the scrambled chronology is equally masterful used in both films  the amazing plot twists are present and the acting is very good   this film was made with a mere       but the quality is much higher than most  almost all  million dollar box office hits  the use of b w may be a hard pill to swallow for the big audience  following is primarily nolan showing off his skills to the studio bosses      and what skills they are   rarely have i enjoyed writing so much as in  following   even pi doesn t even come close imo  though it s also very good   this is a film surely not to be missed by any self respecting movie lover  if you liked memento   following  is definitely for you,1,
if you are home on a weekend  very bored and lack the will to move  with absolutely nothing better to do with your life for the next couple of hours you could enjoy making fun of this movie  the acting and script and general movie making of this film isn t actually all that bad  which is why it makes it possible to actually sit through this  this is defitnly a movie they would show in high school health class to teach the dangers of pre marital sex  or they could also show it to teach the dangers of very lame music   that  rock  band brian austin green is in is really terrible  i think thats a much greater threat to society than unwed parents,0,
it s not as good as the movie  that said it s a cute kids show  okay so the emperor has back slide and become a selfish spoiled brat once more  accept it and enjoy the cartoon as something entertaining  it has plenty of jokes for the parents and still holds the attention of children  also it boasts two of the original voice actors from the movie  earth kitt who has been in numerous films but i m sure many people know as catwoman  and patrick walburton  sorry if i misspelled  who also has appeared in many films and tv series but is most widely recognized as the tick  it s really a rare and wonderful combination  if for no other reason i highly recommend comic book fans watch at least one episode just to enjoy the dynamic duo  to sum up  entertaining children s show  with plenty of inside jokes for the grown ups to laugh along with  if your looking for educational value this isn t your show  if your just looking for something funny this is a great saturday morning pick,1,
